,scanID,segmethod,hemisphere,nuclei,AVGDIST,manufacturerCode,model,fieldStrength
130,3,t1thomas,left,8,0.530603,2,Achieva,1.5
131,3,t1thomas,right,8,0.667497,2,Achieva,1.5
132,3,t1thomas,left,9,0.743719,2,Achieva,1.5
133,3,t1thomas,right,9,1.081555,2,Achieva,1.5
134,3,t1thomas,left,10,3.064604,2,Achieva,1.5
135,3,t1thomas,right,10,3.771145,2,Achieva,1.5
136,3,t1thomas,left,11,1.357162,2,Achieva,1.5
137,3,t1thomas,right,11,1.715317,2,Achieva,1.5
138,3,t1thomas,left,12,0.697793,2,Achieva,1.5
139,3,t1thomas,right,12,0.630541,2,Achieva,1.5
140,3,hipsthomas,left,2,0.787491,2,Achieva,1.5
141,3,hipsthomas,right,2,0.525513,2,Achieva,1.5
142,3,hipsthomas,left,4,0.538929,2,Achieva,1.5
143,3,hipsthomas,right,4,0.344346,2,Achieva,1.5
144,3,hipsthomas,left,5,0.827543,2,Achieva,1.5
145,3,hipsthomas,right,5,0.901458,2,Achieva,1.5
146,3,hipsthomas,left,6,0.359494,2,Achieva,1.5
147,3,hipsthomas,right,6,0.465535,2,Achieva,1.5
148,3,hipsthomas,left,7,0.623653,2,Achieva,1.5
149,3,hipsthomas,right,7,0.516383,2,Achieva,1.5
150,3,hipsthomas,left,8,0.552157,2,Achieva,1.5
151,3,hipsthomas,right,8,0.83539,2,Achieva,1.5
152,3,hipsthomas,left,9,0.609919,2,Achieva,1.5
153,3,hipsthomas,right,9,1.236449,2,Achieva,1.5
154,3,hipsthomas,left,10,2.222522,2,Achieva,1.5
155,3,hipsthomas,right,10,2.730297,2,Achieva,1.5
156,3,hipsthomas,left,11,0.746839,2,Achieva,1.5
157,3,hipsthomas,right,11,0.816107,2,Achieva,1.5
158,3,hipsthomas,left,12,0.511825,2,Achieva,1.5
159,3,hipsthomas,right,12,0.531652,2,Achieva,1.5
160,4,t1thomas,left,2,0.494134,3,Aera,1.5
161,4,t1thomas,right,2,0.354925,3,Aera,1.5
162,4,t1thomas,left,4,0.637925,3,Aera,1.5
163,4,t1thomas,right,4,0.511306,3,Aera,1.5
164,4,t1thomas,left,5,0.980456,3,Aera,1.5
165,4,t1thomas,right,5,0.958878,3,Aera,1.5
166,4,t1thomas,left,6,0.61626,3,Aera,1.5
167,4,t1thomas,right,6,0.578731,3,Aera,1.5
168,4,t1thomas,left,7,0.849482,3,Aera,1.5
169,4,t1thomas,right,7,0.714884,3,Aera,1.5
170,4,t1thomas,left,8,0.43793,3,Aera,1.5
171,4,t1thomas,right,8,0.709068,3,Aera,1.5
172,4,t1thomas,left,9,0.615586,3,Aera,1.5
173,4,t1thomas,right,9,1.247739,3,Aera,1.5
174,4,t1thomas,left,10,2.257517,3,Aera,1.5
175,4,t1thomas,right,10,3.260351,3,Aera,1.5
176,4,t1thomas,left,11,1.300875,3,Aera,1.5
177,4,t1thomas,right,11,1.167976,3,Aera,1.5
178,4,t1thomas,left,12,0.877589,3,Aera,1.5
179,4,t1thomas,right,12,0.764419,3,Aera,1.5
180,4,hipsthomas,left,2,0.632317,3,Aera,1.5
181,4,hipsthomas,right,2,0.480563,3,Aera,1.5
182,4,hipsthomas,left,4,0.690178,3,Aera,1.5
183,4,hipsthomas,right,4,0.460704,3,Aera,1.5
184,4,hipsthomas,left,5,1.072886,3,Aera,1.5
185,4,hipsthomas,right,5,0.945764,3,Aera,1.5
186,4,hipsthomas,left,6,0.430608,3,Aera,1.5
187,4,hipsthomas,right,6,0.52797,3,Aera,1.5
188,4,hipsthomas,left,7,0.615814,3,Aera,1.5
189,4,hipsthomas,right,7,0.718026,3,Aera,1.5
190,4,hipsthomas,left,8,0.653701,3,Aera,1.5
191,4,hipsthomas,right,8,0.879319,3,Aera,1.5
192,4,hipsthomas,left,9,0.55148,3,Aera,1.5
193,4,hipsthomas,right,9,1.101261,3,Aera,1.5
194,4,hipsthomas,left,10,2.050767,3,Aera,1.5
195,4,hipsthomas,right,10,2.79405,3,Aera,1.5
196,4,hipsthomas,left,11,0.540342,3,Aera,1.5
197,4,hipsthomas,right,11,0.786237,3,Aera,1.5
198,4,hipsthomas,left,12,0.553389,3,Aera,1.5
199,4,hipsthomas,right,12,0.440208,3,Aera,1.5
200,5,t1thomas,left,2,0.465553,3,Espree,1.5
201,5,t1thomas,right,2,0.31652,3,Espree,1.5
202,5,t1thomas,left,4,0.476181,3,Espree,1.5
203,5,t1thomas,right,4,0.350813,3,Espree,1.5
204,5,t1thomas,left,5,1.174518,3,Espree,1.5
205,5,t1thomas,right,5,1.926272,3,Espree,1.5
206,5,t1thomas,left,6,0.42447,3,Espree,1.5
207,5,t1thomas,right,6,0.377687,3,Espree,1.5
208,5,t1thomas,left,7,0.855092,3,Espree,1.5
209,5,t1thomas,right,7,0.455225,3,Espree,1.5
210,5,t1thomas,left,8,0.527598,3,Espree,1.5
211,5,t1thomas,right,8,0.645337,3,Espree,1.5
212,5,t1thomas,left,9,0.69982,3,Espree,1.5
213,5,t1thomas,right,9,1.15089,3,Espree,1.5
214,5,t1thomas,left,10,2.641842,3,Espree,1.5
215,5,t1thomas,right,10,2.913135,3,Espree,1.5
216,5,t1thomas,left,11,0.782918,3,Espree,1.5
217,5,t1thomas,right,11,0.723875,3,Espree,1.5
218,5,t1thomas,left,12,0.697134,3,Espree,1.5
219,5,t1thomas,right,12,0.537932,3,Espree,1.5
220,5,hipsthomas,left,2,0.94223,3,Espree,1.5
221,5,hipsthomas,right,2,0.532045,3,Espree,1.5
222,5,hipsthomas,left,4,0.651867,3,Espree,1.5
223,5,hipsthomas,right,4,0.425665,3,Espree,1.5
224,5,hipsthomas,left,5,0.937251,3,Espree,1.5
225,5,hipsthomas,right,5,1.026406,3,Espree,1.5
226,5,hipsthomas,left,6,0.442309,3,Espree,1.5
227,5,hipsthomas,right,6,0.484713,3,Espree,1.5
228,5,hipsthomas,left,7,0.824749,3,Espree,1.5
229,5,hipsthomas,right,7,0.906702,3,Espree,1.5
230,5,hipsthomas,left,8,0.822099,3,Espree,1.5
231,5,hipsthomas,right,8,0.960638,3,Espree,1.5
232,5,hipsthomas,left,9,0.593125,3,Espree,1.5
233,5,hipsthomas,right,9,1.025259,3,Espree,1.5
234,5,hipsthomas,left,10,2.193028,3,Espree,1.5
235,5,hipsthomas,right,10,2.953004,3,Espree,1.5
236,5,hipsthomas,left,11,0.522048,3,Espree,1.5
237,5,hipsthomas,right,11,0.521229,3,Espree,1.5
238,5,hipsthomas,left,12,0.583014,3,Espree,1.5
239,5,hipsthomas,right,12,0.434899,3,Espree,1.5
240,6,t1thomas,left,2,0.572386,3,Symphony,1.5
241,6,t1thomas,right,2,0.477028,3,Symphony,1.5
242,6,t1thomas,left,4,0.472133,3,Symphony,1.5
243,6,t1thomas,right,4,0.465562,3,Symphony,1.5
244,6,t1thomas,left,5,1.094113,3,Symphony,1.5
245,6,t1thomas,right,5,1.227873,3,Symphony,1.5
246,6,t1thomas,left,6,0.455084,3,Symphony,1.5
247,6,t1thomas,right,6,0.410155,3,Symphony,1.5
248,6,t1thomas,left,7,1.021888,3,Symphony,1.5
249,6,t1thomas,right,7,0.434787,3,Symphony,1.5
250,6,t1thomas,left,8,0.520412,3,Symphony,1.5
251,6,t1thomas,right,8,0.628552,3,Symphony,1.5
252,6,t1thomas,left,9,0.820483,3,Symphony,1.5
253,6,t1thomas,right,9,1.443152,3,Symphony,1.5
254,6,t1thomas,left,10,2.329343,3,Symphony,1.5
255,6,t1thomas,right,10,2.977718,3,Symphony,1.5
256,6,t1thomas,left,11,0.990711,3,Symphony,1.5
257,6,t1thomas,right,11,1.154901,3,Symphony,1.5
258,6,t1thomas,left,12,0.796873,3,Symphony,1.5
259,6,t1thomas,right,12,0.692238,3,Symphony,1.5
260,6,hipsthomas,left,2,0.601882,3,Symphony,1.5
261,6,hipsthomas,right,2,0.631546,3,Symphony,1.5
262,6,hipsthomas,left,4,0.756897,3,Symphony,1.5
263,6,hipsthomas,right,4,0.482966,3,Symphony,1.5
264,6,hipsthomas,left,5,0.843271,3,Symphony,1.5
265,6,hipsthomas,right,5,0.812066,3,Symphony,1.5
266,6,hipsthomas,left,6,0.438653,3,Symphony,1.5
267,6,hipsthomas,right,6,0.439161,3,Symphony,1.5
268,6,hipsthomas,left,7,1.157685,3,Symphony,1.5
269,6,hipsthomas,right,7,0.651024,3,Symphony,1.5
270,6,hipsthomas,left,8,0.62519,3,Symphony,1.5
271,6,hipsthomas,right,8,0.637574,3,Symphony,1.5
272,6,hipsthomas,left,9,0.678493,3,Symphony,1.5
273,6,hipsthomas,right,9,1.34114,3,Symphony,1.5
274,6,hipsthomas,left,10,2.200691,3,Symphony,1.5
275,6,hipsthomas,right,10,2.919424,3,Symphony,1.5
276,6,hipsthomas,left,11,0.763179,3,Symphony,1.5
277,6,hipsthomas,right,11,0.804347,3,Symphony,1.5
278,6,hipsthomas,left,12,0.55089,3,Symphony,1.5
279,6,hipsthomas,right,12,0.536025,3,Symphony,1.5
280,7,t1thomas,left,2,0.511147,1,DISCOVERY MR750w,3.0
281,7,t1thomas,right,2,0.329674,1,DISCOVERY MR750w,3.0
282,7,t1thomas,left,4,0.647004,1,DISCOVERY MR750w,3.0
283,7,t1thomas,right,4,0.413185,1,DISCOVERY MR750w,3.0
284,7,t1thomas,left,5,1.272848,1,DISCOVERY MR750w,3.0
285,7,t1thomas,right,5,1.173442,1,DISCOVERY MR750w,3.0
286,7,t1thomas,left,6,0.757864,1,DISCOVERY MR750w,3.0
287,7,t1thomas,right,6,0.536723,1,DISCOVERY MR750w,3.0
288,7,t1thomas,left,7,1.089674,1,DISCOVERY MR750w,3.0
289,7,t1thomas,right,7,0.806239,1,DISCOVERY MR750w,3.0
290,7,t1thomas,left,8,0.372203,1,DISCOVERY MR750w,3.0
291,7,t1thomas,right,8,0.49636,1,DISCOVERY MR750w,3.0
292,7,t1thomas,left,9,0.685106,1,DISCOVERY MR750w,3.0
293,7,t1thomas,right,9,0.869852,1,DISCOVERY MR750w,3.0
294,7,t1thomas,left,10,1.878594,1,DISCOVERY MR750w,3.0
295,7,t1thomas,right,10,3.014804,1,DISCOVERY MR750w,3.0
296,7,t1thomas,left,11,1.327964,1,DISCOVERY MR750w,3.0
297,7,t1thomas,right,11,1.409996,1,DISCOVERY MR750w,3.0
298,7,t1thomas,left,12,1.071387,1,DISCOVERY MR750w,3.0
299,7,t1thomas,right,12,0.8916,1,DISCOVERY MR750w,3.0
300,7,hipsthomas,left,2,0.688057,1,DISCOVERY MR750w,3.0
301,7,hipsthomas,right,2,0.437939,1,DISCOVERY MR750w,3.0
302,7,hipsthomas,left,4,0.774312,1,DISCOVERY MR750w,3.0
303,7,hipsthomas,right,4,0.409436,1,DISCOVERY MR750w,3.0
304,7,hipsthomas,left,5,1.005158,1,DISCOVERY MR750w,3.0
305,7,hipsthomas,right,5,1.088064,1,DISCOVERY MR750w,3.0
306,7,hipsthomas,left,6,0.45185,1,DISCOVERY MR750w,3.0
307,7,hipsthomas,right,6,0.392704,1,DISCOVERY MR750w,3.0
308,7,hipsthomas,left,7,0.778177,1,DISCOVERY MR750w,3.0
